Subject,Course Name,Course URL
"Education & Teaching
          ",Teaching Character and Creating Positive Classrooms ,https://www.class-central.com/course/coursera-teaching-character-and-creating-positive-classrooms-866
"Education & Teaching
          ",A Beginner's Guide to Writing in English for University Study,https://www.class-central.com/course/futurelearn-a-beginner-s-guide-to-writing-in-english-for-university-study-1449
"Education & Teaching
          ",Leaders of Learning,https://www.class-central.com/course/edx-leaders-of-learning-2027
"Business
          ",Estadística Aplicada a los Negocios,https://www.class-central.com/course/edx-estadistica-aplicada-a-los-negocios-10270
"Business
          ","Computational Investing, Part I",https://www.class-central.com/course/coursera-computational-investing-part-i-406
"Computer Science
          ",Introduction to Computer Science and Programming Using Python,https://www.class-central.com/course/edx-introduction-to-computer-science-and-programming-using-python-1341
"Computer Science
          ",CS50's Introduction to Computer Science,https://www.class-central.com/course/edx-cs50-s-introduction-to-computer-science-442
"Computer Science
          ",Machine Learning for Musicians and Artists,https://www.class-central.com/course/kadenze-machine-learning-for-musicians-and-artists-3768
"Social Sciences
          ",Introductory AP® Microeconomics,https://www.class-central.com/course/edx-introductory-ap-microeconomics-8630
"Social Sciences
          ",Psychological First Aid,https://www.class-central.com/course/coursera-psychological-first-aid-2900
"Humanities
          ","The Bible's Prehistory, Purpose, and Political Future",https://www.class-central.com/course/coursera-the-bible-s-prehistory-purpose-and-political-future-1406
"Humanities
          ",Grammar and Punctuation,https://www.class-central.com/course/coursera-grammar-and-punctuation-4236
"Humanities
          ",Writing for the Web,https://www.class-central.com/course/open2study-writing-for-the-web-905
"Science
          ",Quantum Mechanics for Everyone,https://www.class-central.com/course/edx-quantum-mechanics-for-everyone-8284
"Science
          ",The Science of Everyday Thinking,https://www.class-central.com/course/edx-the-science-of-everyday-thinking-1332
"Data Science
          ",Introduction to R for Data Science,https://www.class-central.com/course/edx-introduction-to-r-for-data-science-3928
"Data Science
          ",Whole genome sequencing of bacterial genomes - tools and applications,https://www.class-central.com/course/coursera-whole-genome-sequencing-of-bacterial-genomes-tools-and-applications-8907
"Data Science
          ",Mining Massive Datasets,https://www.class-central.com/course/stanford-openedx-mining-massive-datasets-2406
"Mathematics
          ",Queuing Theory: from Markov Chains to Multi-Server Systems,https://www.class-central.com/course/edx-queuing-theory-from-markov-chains-to-multi-server-systems-10079
"Mathematics
          ",Intro to Descriptive Statistics,https://www.class-central.com/course/udacity-intro-to-descriptive-statistics-2309
"Education & Teaching
          ",Understanding IELTS: Techniques for English Language Tests,https://www.class-central.com/course/futurelearn-understanding-ielts-techniques-for-english-language-tests-3301
"Education & Teaching
          ",Teaching Adult Learners,https://www.class-central.com/course/open2study-teaching-adult-learners-903
"Education & Teaching
          ",Applying to U.S. Universities,https://www.class-central.com/course/coursera-applying-to-u-s-universities-1620
"Business
          ",Critical Perspectives on Management,https://www.class-central.com/course/coursera-critical-perspectives-on-management-714
"Business
          ",Principles of Project Management,https://www.class-central.com/course/open2study-principles-of-project-management-900
"Computer Science
          ",Intro to Computer Science,https://www.class-central.com/course/udacity-intro-to-computer-science-320
"Computer Science
          ","Algorithms, Part I",https://www.class-central.com/course/coursera-algorithms-part-i-339
"Health & Medicine
          ",Understanding Dementia,https://www.class-central.com/course/independent-understanding-dementia-981
"Social Sciences
          ",Positive Psychology ,https://www.class-central.com/course/coursera-positive-psychology-2943
"Social Sciences
          ",Terrorism and Counterterrorism: Comparing Theory and Practice,https://www.class-central.com/course/coursera-terrorism-and-counterterrorism-comparing-theory-and-practice-701
"Humanities
          ",English Grammar and Style,https://www.class-central.com/course/edx-english-grammar-and-style-2022
"Humanities
          ","Philosophy, Science and Religion: Philosophy and Religion",https://www.class-central.com/course/coursera-philosophy-science-and-religion-philosophy-and-religion-9085
"Science
          ",Medical Neuroscience,https://www.class-central.com/course/coursera-medical-neuroscience-384
"Science
          ",Forensic Facial Reconstruction: Finding Mr. X,https://www.class-central.com/course/futurelearn-forensic-facial-reconstruction-finding-mr-x-7641
"Data Science
          ",Introduction to Data Science in Python,https://www.class-central.com/course/coursera-introduction-to-data-science-in-python-6671
"Data Science
          ",A Crash Course in Data Science,https://www.class-central.com/course/coursera-a-crash-course-in-data-science-4392
"Mathematics
          ",Effective Thinking Through Mathematics,https://www.class-central.com/course/edx-effective-thinking-through-mathematics-1335
"Mathematics
          ",Introduction to Renormalization,https://www.class-central.com/course/complexity-explorer-introduction-to-renormalization-11490
"Education & Teaching
          ","American Education Reform: History, Policy, Practice",https://www.class-central.com/course/coursera-american-education-reform-history-policy-practice-2793
"Education & Teaching
          ","Academic Integrity: Values, Skills, Action ",https://www.class-central.com/course/futurelearn-academic-integrity-values-skills-action-2131
"Education & Teaching
          ",Instructional Design Models,https://www.class-central.com/course/edx-instructional-design-models-8178
"Business
          ",Innovation for Powerful Outcomes,https://www.class-central.com/course/open2study-innovation-for-powerful-outcomes-1177
"Business
          ",Financial Markets,https://www.class-central.com/course/coursera-financial-markets-912
"Computer Science
          ",Cryptography I,https://www.class-central.com/course/coursera-cryptography-i-616
"Computer Science
          ",Intro to Deep Learning,https://www.class-central.com/course/udacity-intro-to-deep-learning-5681
"Health & Medicine
          ",Preventing Dementia,https://www.class-central.com/course/independent-preventing-dementia-6565
"Health & Medicine
          ",Understanding Clinical Research: Behind the Statistics,https://www.class-central.com/course/coursera-understanding-clinical-research-behind-the-statistics-5037
"Social Sciences
          ",Miracles of Human Language: An Introduction to Linguistics,https://www.class-central.com/course/coursera-miracles-of-human-language-an-introduction-to-linguistics-2940
"Social Sciences
          ",Buddhism and Modern Psychology ,https://www.class-central.com/course/coursera-buddhism-and-modern-psychology-1355
"Engineering
          ",Introduction to Engineering Mechanics,https://www.class-central.com/course/coursera-introduction-to-engineering-mechanics-564
"Programming
          ",Programming for Everybody (Getting Started with Python),https://www.class-central.com/course/coursera-programming-for-everybody-getting-started-with-python-4319
"Humanities
          ",The Ancient Greeks,https://www.class-central.com/course/coursera-the-ancient-greeks-502
"Humanities
          ",How to Write an Essay,https://www.class-central.com/course/edx-how-to-write-an-essay-1333
"Humanities
          ",The Modern and the Postmodern (Part 1),https://www.class-central.com/course/coursera-the-modern-and-the-postmodern-part-1-598
"Science
          ",Astrobiology and the Search for Extraterrestrial Life,https://www.class-central.com/course/coursera-astrobiology-and-the-search-for-extraterrestrial-life-415
"Science
          ",Introductory Human Physiology,https://www.class-central.com/course/coursera-introductory-human-physiology-380
"Science
          ",Introduction to Biology - The Secret of Life,https://www.class-central.com/course/edx-introduction-to-biology-the-secret-of-life-637
"Data Science
          ",Exploratory Data Analysis,https://www.class-central.com/course/coursera-exploratory-data-analysis-1715
"Data Science
          ",Algorithms for DNA Sequencing,https://www.class-central.com/course/coursera-algorithms-for-dna-sequencing-3433
"Mathematics
          ",Fibonacci Numbers and the Golden Ratio,https://www.class-central.com/course/coursera-fibonacci-numbers-and-the-golden-ratio-6684
"Education & Teaching
          ",Becoming a Confident Trainer,https://www.class-central.com/course/open2study-becoming-a-confident-trainer-998
"Education & Teaching
          ",Education in a Changing World,https://www.class-central.com/course/open2study-education-in-a-changing-world-1001
"Education & Teaching
          ",Learning Online: Reflecting and Sharing,https://www.class-central.com/course/futurelearn-learning-online-reflecting-and-sharing-5017
"Business
          ",Introduction to Operations Management,https://www.class-central.com/course/coursera-introduction-to-operations-management-372
"Business
          ",Fundamentals of Project Planning and Management,https://www.class-central.com/course/coursera-fundamentals-of-project-planning-and-management-3292
"Computer Science
          ",Functional Programming Principles in Scala,https://www.class-central.com/course/coursera-functional-programming-principles-in-scala-422
"Computer Science
          ",How to Use Git and GitHub,https://www.class-central.com/course/udacity-how-to-use-git-and-github-2661
"Health & Medicine
          ",Mindfulness for Wellbeing and Peak Performance,https://www.class-central.com/course/futurelearn-mindfulness-for-wellbeing-and-peak-performance-3714
"Health & Medicine
          ",The Musculoskeletal System: The Science of Staying Active into Old Age,https://www.class-central.com/course/futurelearn-the-musculoskeletal-system-the-science-of-staying-active-into-old-age-6738
"Social Sciences
          ",Understanding the GDPR,https://www.class-central.com/course/futurelearn-understanding-the-gdpr-9403
"Social Sciences
          ",Understanding the Origins of Crime,https://www.class-central.com/course/open2study-understanding-the-origins-of-crime-1005
"Personal Development
          ",Career Planning:  A Pathway to Employment,https://www.class-central.com/course/coursera-career-planning-a-pathway-to-employment-7024
"Engineering
          ",Mechanics of Materials I: Fundamentals of Stress & Strain and Axial Loading,https://www.class-central.com/course/coursera-mechanics-of-materials-i-fundamentals-of-stress-strain-and-axial-loading-5031
"Engineering
          ",Cartography,https://www.class-central.com/course/independent-cartography-8812
"Programming
          ",An Introduction to Interactive Programming in Python (Part 1),https://www.class-central.com/course/coursera-an-introduction-to-interactive-programming-in-python-part-1-408
"Programming
          ",Python Data Structures,https://www.class-central.com/course/coursera-python-data-structures-4174
"Art & Design
          ",Gamification,https://www.class-central.com/course/coursera-gamification-343
"Humanities
          ",The Emergence of the Modern Middle East - Part I,https://www.class-central.com/course/coursera-the-emergence-of-the-modern-middle-east-part-i-976
"Humanities
          ",Moralities of Everyday Life,https://www.class-central.com/course/coursera-moralities-of-everyday-life-911
"Science
          ",Dino 101: Dinosaur Paleobiology,https://www.class-central.com/course/coursera-dino-101-dinosaur-paleobiology-1057
"Science
          ",The Science of the Solar System,https://www.class-central.com/course/coursera-the-science-of-the-solar-system-1813
"Data Science
          ",Intro to Hadoop and MapReduce,https://www.class-central.com/course/udacity-intro-to-hadoop-and-mapreduce-1470
"Data Science
          ",Data Analysis with R,https://www.class-central.com/course/udacity-data-analysis-with-r-1478
"Mathematics
          ",Intro Algebra Review,https://www.class-central.com/course/udacity-intro-algebra-review-2666
"Mathematics
          ",Intro to Inferential Statistics,https://www.class-central.com/course/udacity-intro-to-inferential-statistics-2310
"Education & Teaching
          ",Techniques for Teaching Adjectives and Adjective Clauses,https://www.class-central.com/course/coursera-techniques-for-teaching-adjectives-and-adjective-clauses-7366
"Education & Teaching
          ",Get Interactive: Practical Teaching with Technology,https://www.class-central.com/course/coursera-get-interactive-practical-teaching-with-technology-8415
"Business
          ",Foundations of Business Strategy,https://www.class-central.com/course/coursera-foundations-of-business-strategy-546
"Business
          ",Planning for Monitoring and Evaluation,https://www.class-central.com/course/independent-planning-for-monitoring-and-evaluation-11965
"Business
          ",Applied Scrum for Project Management,https://www.class-central.com/course/edx-applied-scrum-for-project-management-11917
"Computer Science
          ",Creative Applications of Deep Learning with TensorFlow,https://www.class-central.com/course/kadenze-creative-applications-of-deep-learning-with-tensorflow-6679
"Computer Science
          ",Introduction to Linux,https://www.class-central.com/course/edx-introduction-to-linux-1857
"Health & Medicine
          ",Vital Signs: Understanding What the Body Is Telling Us,https://www.class-central.com/course/coursera-vital-signs-understanding-what-the-body-is-telling-us-1887
"Health & Medicine
          ",Food as Medicine,https://www.class-central.com/course/futurelearn-food-as-medicine-5742
"Social Sciences
          ",Introduction to Psychology,https://www.class-central.com/course/coursera-introduction-to-psychology-647
"Personal Development
          ",How To Land the Job You Want (Capstone Project),https://www.class-central.com/course/coursera-how-to-land-the-job-you-want-capstone-project-5566
"Personal Development
          ",Interview Research and Preparation,https://www.class-central.com/course/coursera-interview-research-and-preparation-5465
"Engineering
          ",Applications in Engineering Mechanics,https://www.class-central.com/course/coursera-applications-in-engineering-mechanics-1148
"Engineering
          ",Artificial Intelligence for Robotics,https://www.class-central.com/course/udacity-artificial-intelligence-for-robotics-319
